"Сбербанк зарплата, ВТБ","Ипотека, Коммунальные расходы",,,,,,,,,,,,,,,,,
"Сбербанк зарплата, ВТБ, ПлюсКарта","Ипотека, Коммунальные расходы, Дашины занятия",,,,,,,,,,,,,,,,,
"Сбербанк зарплата, ВТБ, ПлюсКарта, ПлюсНалик","Ипотека, Коммунальные расходы, Дашины занятия, Продукты",,,,,,,,,,,,,,,,,
,"Ипотека, Коммунальные расходы, Дашины занятия, Продукты, Одежда",,,,,,,,,,,,,,,,,
,"Ипотека, Коммунальные расходы, Дашины занятия, Продукты, Одежда, Мобильная связь",,,,,,,,,,,,,,,,,
,"Ипотека, Коммунальные расходы, Дашины занятия, Продукты, Одежда, Мобильная связь, Развлечения",,,,,,,,,,,,,,,,,
,"Ипотека, Коммунальные расходы, Дашины занятия, Продукты, Одежда, Мобильная связь, Развлечения, Парфюмерия & косметика",,,,,,,,,,,,,,,,,
,"Ипотека, Коммунальные расходы, Дашины занятия, Продукты, Одежда, Мобильная связь, Развлечения, Парфюмерия & косметика, На отпуск",,,,,,,,,,,,,,,,,
,"Ипотека, Коммунальные расходы, Дашины занятия, Продукты, Одежда, Мобильная связь, Развлечения, Парфюмерия & косметика, На отпуск, Бытовая техника, мебель",,,,,,,,,,,,,,,,,
,"Ипотека, Коммунальные расходы, Дашины занятия, Продукты, Одежда, Мобильная связь, Развлечения, Парфюмерия & косметика, На отпуск, Бытовая техника, мебель, Подарки",,,,,,,,,,,,,,,,,
